Animal Name,Location,Price
Male Wallaby,Location: Missouri,"Price: $3,500.00"
Sika Deer,Location: Tennessee,"Price: 2,000.00"
"Hedgehogs, males",Location: Ohio,n/a
Grants Zebra Colt   ( cart started ) Trades,Location: Arizona,"Price: $8,200.00"
Grants Zebra Colt   ( cart started ) Trades,Location: Arizona,"Price: $8,200.00"
Hedgehogs,Location: South Carolina,Price: $200.00
prairie dogs,Location: Tennessee,n/a
Fennec Foxes Available,Location: Florida,"Price: 2,800"
F7 bengal tica registered,Location: Texas,"Price: $3,000.00"
Tica registered f2 bengal,Location: Texas,"Price: $3,000.00"
Serval kittens,Location: Wisconsin,"Price: $6,500.00"
Caracal,Location: Wisconsin,"Price: $6,500.00"
Brown Suri male llama for sale,Location: Texas,"Price: $1,500.00"
Satin Angora Rabbits,Location: Texas,Price: $125.00
Serval male soooo sweet,Location: Tennessee,n/a
Wolfdog pups available,Location: Montana,n/a
Mink female,Location: Minnesota,n/a
Skinny pigs,Location: Minnesota,n/a
Hedgehogs,Location: Minnesota,n/a
Servals kittens,Location: Tennessee,"Price: $5,500.00"
Trio of cavies,Location: Indiana,Price: 750 for all three
Baby Virginia Opossums,Location: Iowa,Price: $150.00
Coatimundi Babies,Location: Florida,"Price: $1,200.00"
Huge F3 marble Savannah Boy,Location: Pennsylvania,"Price: $2,500.00"
Micro Squirrels,Location: Missouri,n/a
Bottle Raised Prairie Dog Pups,Location: Missouri,n/a
Sugar Glider Joeys,Location: Missouri,n/a
Baby Hedgehogs!!!,Location: Missouri,n/a
Degu Babies!  Rare Colors,Location: Missouri,n/a
F2 Savannah Male TICA Registered,Location: Pennsylvania,"Price: $4,000.00"
F2 Female Savannah Kitten,Location: Pennsylvania,"Price: $3,500.00"
F2 Savannah Female TICA registered,Location: Pennsylvania,"Price: 4,000"
Wolf (dog) Pups.,Location: North Carolina,n/a
2 super cute Ferrets,Location: Oklahoma,n/a
F3 Savannah Silver Male Kitten Available now! Fluff,Location: Pennsylvania,"Price: $1,850.00"
Chinchillas,Location: Indiana,n/a
7 Month Old Male Red Kangaroo,Location: Michigan,"Price: $2,500.00"
Baby Coatimundi,Location: Florida,"Price: $1,200.00"
M 8wk Asiatic Wildcat,Location: Ohio,n/a
F6C TICA Male Savannah Kittens,Location: Utah,"Price: $1,000.00"
Male Jungle Curl Kitten,Location: Utah,"Price: $1,000.00"
Prairie Dog,Location: Arkansas,n/a
Silver Savannah Female,Location: Kansas,n/a
Kinkajou babies,Location: Nevada,"Price: $2,500.00"
Serval kittens,Location: Arizona,"Price: $4,000.00"
Apollo,Location: Missouri,"Price: $1,000.00"
"Light Brown Baby Bactrian Camel Girl - $16,000",Location: New Mexico,n/a
F1 bengal kitten,Location: Texas,"Price: $4,000.00"
